occupation,women,white,black,asian,hispanic,total
"Management, professional, and related occupations",51.8,79,9.6,8.7,10.1,28.4
"Management, business, and financial operations occupations",44.1,82.1,8.4,7,10.4,25.8
Management occupations,40,83.6,7.8,6.1,10.7,24.6
Chief executives,27.6,88.8,4.1,5.8,6.2,16.1
General and operations managers,30.6,86.4,6.6,3.5,12.5,22.6
Legislators,–,–,–,–,–,0
Advertising and promotions managers,56.9,89.5,0.7,7,9,16.7
Marketing and sales managers,48.5,86.1,6.1,5.6,8.9,20.6
Public relations and fundraising managers,71.4,89.8,8,0.4,1.4,9.8
Administrative services managers,42,83.9,10.5,3.2,10.9,24.6
Computer and information systems managers,28.7,72.7,9.6,15.8,4.7,30.1
Financial managers,53.5,80.2,8.5,9.4,11.4,29.3
Compensation and benefits managers,–,–,–,–,–,0
Human resources managers,74.7,77.8,11.1,7.1,10.1,28.3
Training and development managers,–,–,–,–,–,0
Industrial production managers,22.4,87.2,5.4,5.5,10.9,21.8
Purchasing managers,42.8,75.1,14.4,5.9,10,30.3
"Transportation, storage, and distribution managers",17.3,85.1,9.6,2.4,17.3,29.3
"Farmers, ranchers, and other agricultural managers",24.5,96.6,0.9,1,5.7,7.6
Construction managers,10,90.9,3.5,2.5,13.9,19.9
Education administrators,67.7,78.6,15.3,3.3,11.8,30.4
Architectural and engineering managers,11.7,81.5,6,11.8,6.7,24.5
Food service managers,46.5,76.3,9.8,9.6,19.8,39.2
Funeral service managers,–,–,–,–,–,0
Gaming managers,–,–,–,–,–,0
Lodging managers,49.5,80.9,7,9.3,14.6,30.9
Medical and health services managers,69.7,79,12.7,5.7,11.8,30.2
Natural sciences managers,–,–,–,–,–,0
Postmasters and mail superintendents,–,–,–,–,–,0
"Property, real estate, and community association managers",47.3,83.6,8.9,4.5,12.8,26.2
Social and community service managers,68.2,79.9,12.3,3.2,10.6,26.1
Emergency management directors,–,–,–,–,–,0
"Managers, all other",36,83.4,7.5,6.8,10.3,24.6
Business and financial operations occupations,54,78.4,9.9,9,9.5,28.4
"Agents and business managers of artists, performers, and athletes",–,–,–,–,–,0
"Buyers and purchasing agents, farm products",–,–,–,–,–,0
"Wholesale and retail buyers, except farm products",47.8,87,6.9,3.5,14.6,25
"Purchasing agents, except wholesale, retail, and farm products",48.5,82.5,9.9,4.2,10.3,24.4
"Claims adjusters, appraisers, examiners, and investigators",62.1,73.6,19.5,4.4,9.5,33.4
Compliance officers,59.5,80.7,10.2,6.1,10.5,26.8
